,review,point,date,ingre,token_review
2371,아침저녁으로 세수하고나서 사용하는데 잘 쓰고있어요. 가을겨울에 속건조가 심해서 구매했고 사용한지 얼마되지않아 정확히는 모르겠지만 아직까지 나쁘지않은것 같습니다. 속건조에 도움이 되면 좋겠네요,4,2018-10-11,프로폴리스,"['아침', '저녁', '으로', '세수', '하고', '나서사', '용하는데', '잘쓰고있어요', '가을', '겨울', '에', '속', '건조', '가', '심해서', '구매', '했고사', '용한', '지', '얼마', '되지', '않아', '정확히는', '모르겠지만', '아직', '까지', '나쁘지', '않은것', '같습니다', '속', '건조', '에', '도움', '이', '되면', '좋겠네요']"
2372,배송은 좀 느렸지만 ㅜㅜ 싸게 잘샀어용,5,2018-10-12,프로폴리스,"['배송', '은', '좀', '느렸지만', '싸게잘', '샀어용']"
2373,아직 사용전이지만 입소문 듣고 구매합니다.좋을거라 믿고...ㅋ샘플도 많이 챙겨 주셨네요,5,2018-10-13,프로폴리스,"['아직', '사용', '전이', '지만', '입', '소문', '듣고', '구매', '합니다', '좋을거라', '믿고', '샘플', '도', '많이', '챙겨주셨네요']"
2374,좋아요,4,2018-10-13,프로폴리스,['좋아요']
2375,예전에 15ml 구매해서 써보고 좋아서구입해요지성피부한테도 잘맞네요,5,2018-10-14,프로폴리스,"['예전', '에구', '매해', '서써', '보고', '좋아서', '구입', '해', '요', '지성', '피부', '한테', '도', '잘맞네요']"
2376,"원래 프로폴리스 오일 크림을 썼는데, 오일이라그런지 조금만 많이발라도 좁쌀여드름이 올라와서 (과영양으로), 진자 콩알만큼 썼었거든요 그러다가, 좀 더 기능성 앰플을 쓰고싶어서 원래 쓰던 라인인 프로폴리스로 구매했어요 우선 대용량이라 너무 좋고 ㅋㅋㅋ 저녁에는 스포이드 한번 다 쓰고, 아침에는 반만쓰는데 유분기도 없고 얼굴 전체가 진짜 생기도 돌고, 환절기에 올라오는 트러블같은것도 훨씬 덜하더라구요 꾸준히 쓰면서 피부가 더 건강해지면 좋겠어요!",5,2018-10-15,프로폴리스,"['원래', '프로폴리스', '오', '일', '크림', '을', '썼는데', '오일', '이라', '그런', '지', '조금', '만', '많이', '발라', '도', '좁쌀', '여드름', '이', '올라와서', '과', '영양', '으로', '진자', '콩알', '만큼', '썼었거든요', '그러다가', '좀더', '기능', '성', '앰', '플', '을', '쓰고싶어서', '원래', '쓰던', '라인', '인', '프로폴리스', '로', '구매', '했어요', '우선', '대', '용량', '이라', '너무', '좋고', '저녁', '에는', '스포이드', '한번', '다', '쓰고', '아침', '에는', '반', '만', '쓰는데', '유', '분기도', '없고', '얼굴', '전체', '가', '진짜', '생기', '도', '돌고', '환절기', '에', '올라오는', '트러블', '같은것도', '훨씬', '덜하더라구요', '꾸준히', '쓰면서', '피부', '가더', '건강해지면', '좋겠어요']"
2377,앰플은 처음 구매를 해 보았는데.싸이닉 제품이라서 믿고 구매를 했습니다. 밀 그대로 대용량입니다. 보습 및 향은 괜찮습니다. 다음에도 재 구매 할 예정입나다.,5,2018-10-18,프로폴리스,"['앰플', '은', '처음', '구매', '를', '해보았는데', '싸이', '닉', '제품', '이라서', '믿고', '구매', '를', '했습니다', '밀', '그대로', '대', '용량', '입니다', '보습', '및향', '은', '괜찮습니다', '다음', '에도', '재구매', '할', '예정', '입', '나다']"
2378,많이 건조하고 예민한 피부인데 차앤박 프로폴리스 앰플세럼 쓰니까 촉촉하고 좋은 느낌이에요~ 앞으로도 계속 사용할거 같아요~,5,2018-10-19,프로폴리스,"['많이', '건조', '하고', '예민한', '피부', '인데', '차앤박', '프로폴리스', '앰', '플', '세럼', '쓰니까', '촉촉하고', '좋은', '느낌', '이에요', '앞', '으로도', '계속', '사용', '할거', '같아요']"
2379,드디어 받았네요유효기간 길고 제조일자 최근걸로 보내주셔서 좋아요그치만 배송이 너무 느렸기때매 별을 마니 줄수가없슴당....,1,2018-10-19,프로폴리스,"['드디어', '받았네요', '유효', '기간', '길고', '제', '조일', '자', '최근', '걸', '로', '보내주셔서', '좋아요', '그치만', '배송', '이', '너무', '느렸기', '때매별', '을', '마니줄수가', '없', '슴', '당']"
2380,광고 만큼이나 좋은 효과가 있는지는 조금 써보아야겠어요그리고 배송이 너무 늦어서 좀 아쉬워요,3,2018-10-20,프로폴리스,"['광고', '만큼이나', '좋은', '효과', '가', '있는지는', '조금', '써', '보아', '야', '겠어요', '그리고', '배송', '이', '너무', '늦어서', '좀', '아쉬워요']"
2381,꾸준히사용해야겟어요 가격은저럼하지안안요,4,2018-10-20,프로폴리스,"['꾸준히사', '용해야겟어요', '가격', '은', '저럼하지안안요']"
2382,배송최악,1,2018-10-21,프로폴리스,"['배송', '최악']"
2383,촉촉하고 보습력좋아요 발림도 좋습니다,4,2018-10-21,프로폴리스,"['촉촉하고', '보습', '력', '좋아요', '발림', '도', '좋습니다']"
2384,항살쓰는제품이예요 ㅋ 나에게맞아요 ㅋ,5,2018-10-21,프로폴리스,"['항살', '쓰는', '제품', '이예', '요나', '에게', '맞아요']"
2385,완전 좋아요^^,5,2018-10-22,프로폴리스,"['완전', '좋아요']"
2386,잘 받았어요,5,2018-10-22,프로폴리스,"['잘', '받았어요']"
2387,주문이 밀려서 그런지 배송은 일주일정도 걸린 것 같네요 이 제품은 2통째 쓰고 있는데 좋아요 피부 진정효과 있는것같아요 약간 아쉬운게 있다면 용량이요 ㅜ 너무 빨리 쓰네요,4,2018-10-23,프로폴리스,"['주문', '이', '밀려서', '그런', '지', '배송', '은', '일주일', '정도', '걸린것', '같네요', '이', '제품', '은', '통째', '쓰고있는데', '좋아요', '피부', '진정', '효과', '있는것', '같아', '요약', '간', '아쉬운게', '있다면', '용량', '이요', '너무', '빨리', '쓰네요']"
2388,건성이고 민감성인데 촉촉하네요.. 트러블 없구요,4,2018-10-23,프로폴리스,"['건성', '이고', '민감', '성', '인데', '촉촉하네요', '트러블', '없구요']"
2389,문의 답변보다 빨리 보내주셔서 감사합니다,5,2018-10-24,프로폴리스,"['문의', '답변', '보다', '빨리', '보내주셔서', '감사합니다']"
2390,늘 쓰는 제품인데 저렴하게 잘 구입했습니다. 뽁뽁이 포장도 해주시네요,5,2018-10-24,프로폴리스,"['늘', '쓰는', '제품', '인데', '저렴하게잘', '구입', '했습니다', '뽁뽁', '이', '포장', '도', '해주시네요']"
2391,"미스트는 트러블이 있는데, 앰플은 잘 사용중이네요. 밤에 듬뿍 바르면 든든합니다.",4,2018-10-24,프로폴리스,"['미스트', '는', '트러블', '이', '있는데', '앰', '플', '은', '잘', '사용', '중', '이네', '요밤', '에', '듬뿍', '바르면', '든든합니다']"
