,나이,성별,건성,지성,모름,건조함,과잉피지,여드름,좁쌀,홍조&예민,복합성,기미&잡티,미백앰플,수분라이트,수분앰플,쑥앰플,진정앰플
197,4.0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1
198,1.0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
199,7.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
200,4.0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1
201,5.0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
202,6.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
203,5.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
204,4.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
205,2.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
206,5.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
207,5.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
208,4.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
209,2.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
210,5.0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1
211,4.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
212,5.0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0
213,2.0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0
214,4.0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1
215,5.0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
216,2.0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0
217,5.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
218,5.0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1
219,4.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
220,4.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
221,7.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
222,5.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
223,0.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
224,2.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
225,5.0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1
226,3.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
227,3.0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1
228,6.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
229,8.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
230,5.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
231,5.0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1
232,3.0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1
233,4.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
234,5.0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1
235,5.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
236,4.0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
237,3.0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1
238,3.0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
239,4.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
240,4.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
241,8.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
242,4.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
243,3.0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
244,6.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
245,6.0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1
246,8.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
247,4.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
248,3.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
249,5.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
250,3.0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1
